Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2003","2003","kg","5.94","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2004","2004","kg","6.29","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2005","2005","kg","5.82","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2006","2006","kg","4.73","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2007","2007","kg","5.33","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2008","2008","kg","4.97","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2009","2009","kg","4.92","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2010","2010","kg","4.7","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2011","2011","kg","4.83","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2012","2012","kg","5.14","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2013","2013","kg","4.59","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2003","2003","kg","1.24","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2004","2004","kg","1.49","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2005","2005","kg","2.23","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2006","2006","kg","1.39","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2007","2007","kg","1.1","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2008","2008","kg","1.96","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2009","2009","kg","1.55","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2010","2010","kg","2.34","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2011","2011","kg","2.63","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2012","2012","kg","1.56","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2013","2013","kg","2.45","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2003","2003","kg","13.89","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2004","2004","kg","14.82","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2005","2005","kg","15.01","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2006","2006","kg","18.19","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2007","2007","kg","18.36","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2008","2008","kg","20.22","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2009","2009","kg","19.71","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2010","2010","kg","21.38","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2011","2011","kg","21.24","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2012","2012","kg","22.4","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2013","2013","kg","22.5","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2003","2003","kg","8.06","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2004","2004","kg","8.77","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2005","2005","kg","9.18","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2006","2006","kg","11.98","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2007","2007","kg","12.2","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2008","2008","kg","10.85","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2009","2009","kg","11.41","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2010","2010","kg","11.12","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2011","2011","kg","11.03","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2012","2012","kg","11.04","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2013","2013","kg","10.88","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2003","2003","kg","9.78","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2004","2004","kg","9.25","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2005","2005","kg","9.52","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2006","2006","kg","7.39","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2007","2007","kg","9.77","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2008","2008","kg","12.75","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2009","2009","kg","13.74","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2010","2010","kg","14.3","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2011","2011","kg","13.41","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2012","2012","kg","12.76","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","3","Albania","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2013","2013","kg","13.23","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","4","Algeria","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2003","2003","kg","5.11","Fc","Calculated data"
